Issue ID,Issue Type,Summary,Description,Parent,Labels
E1,Epic,Frontend Development,"Build the UrbanConnect frontend based on the approved wireframes, including public pages, authentication, booking flow, provider dashboard, admin dashboard, shared frontend architecture, API integration, and frontend polish.",,frontend react jira-import
S1,Story,Set up frontend app shell routing and shared components,"Create the frontend foundation needed for all pages, including routing, navigation, shared layout, reusable UI primitives, and cleanup of placeholder content.",E1,frontend react ui foundation
ST1,Sub-task,Create frontend folder structure,"Create the initial src structure such as pages, components, services, hooks, context, and utils.",S1,frontend react foundation
ST2,Sub-task,Configure application routing,"Add route definitions for landing page, services list, service detail, sign in, sign up, booking, provider dashboard, admin dashboard, and not found page.",S1,frontend react routing
ST3,Sub-task,Build shared layout shell,"Create shared header navigation footer and page container components for consistent layout.",S1,frontend react ui
ST4,Sub-task,Remove placeholder app content,"Replace the current placeholder app implementation with the real application shell.",S1,frontend react cleanup
S2,Story,Integrate backend APIs and auth state,"Set up frontend environment configuration API utilities Clerk integration support and authenticated state handling needed by the wireframed screens.",E1,frontend react api auth
ST5,Sub-task,Add frontend environment variable setup,"Define the API base URL and Clerk publishable key environment variable pattern for the client app.",S2,frontend env auth
ST6,Sub-task,Create reusable API client,"Build a shared request layer for GET POST PATCH PUT and DELETE requests with common error handling.",S2,frontend api
ST7,Sub-task,Add auth-aware request support,"Ensure protected frontend requests can include the current authenticated session token when needed.",S2,frontend auth api
ST8,Sub-task,Add session and role state handling,"Load the signed-in user state and expose role-aware information for customer provider and admin access.",S2,frontend auth state
S3,Story,Build landing page,"Implement the landing page from the wireframe with branded layout entry points and calls to action.",E1,frontend react landing-page
ST9,Sub-task,Build landing page layout,"Implement the hero sections content blocks calls to action and footer areas from the wireframe.",S3,frontend ui landing-page
ST10,Sub-task,Connect landing page navigation,"Wire landing page actions to services browsing authentication and other key destinations.",S3,frontend navigation landing-page
ST11,Sub-task,Add landing page responsive behavior,"Ensure the landing page works cleanly on desktop tablet and mobile breakpoints.",S3,frontend responsive landing-page
S4,Story,Build services list page,"Implement the services listing experience from the wireframe and connect it to backend service data.",E1,frontend react services-list
ST12,Sub-task,Create services list layout,"Build the services list page structure with cards grid or list controls and supporting layout.",S4,frontend ui services-list
ST13,Sub-task,Fetch and render services,"Connect the page to GET /api/services and display returned service records.",S4,frontend api services-list
ST14,Sub-task,Add list page states,"Implement loading empty and error states for the services list experience.",S4,frontend ux services-list
ST15,Sub-task,Add services list responsive behavior,"Ensure cards and layout adapt correctly across common screen sizes.",S4,frontend responsive services-list
S5,Story,Build service detail page,"Implement the service detail page from the wireframe and connect it to backend detail data.",E1,frontend react service-detail
ST16,Sub-task,Create service detail layout,"Build the service detail screen showing service information provider information and primary actions.",S5,frontend ui service-detail
ST17,Sub-task,Fetch service details,"Connect the page to GET /api/services/:id and render the selected service.",S5,frontend api service-detail
ST18,Sub-task,Add booking entry point from detail page,"Add the primary action that routes the user into the booking flow from the detail page.",S5,frontend booking service-detail
ST19,Sub-task,Add detail page error and loading states,"Handle unavailable missing and loading service detail states.",S5,frontend ux service-detail
S6,Story,Build sign in and sign up flow,"Implement the authentication entry flow from the wireframe using Clerk and connect it to app access rules.",E1,frontend react auth
ST20,Sub-task,Configure Clerk provider in the frontend,"Add Clerk provider setup at the application entry point.",S6,frontend auth clerk
ST21,Sub-task,Build sign in screen integration,"Implement the sign in entry point matching the wireframe and Clerk flow.",S6,frontend auth sign-in
ST22,Sub-task,Build sign up screen integration,"Implement the sign up entry point matching the wireframe and Clerk flow.",S6,frontend auth sign-up
ST23,Sub-task,Add protected route handling,"Restrict access to booking provider and admin routes when the user is not authenticated.",S6,frontend auth routing
S7,Story,Build booking form flow,"Implement the booking flow from the wireframe and connect customer submission to the backend.",E1,frontend react booking
ST24,Sub-task,Build booking form UI,"Create the booking page form fields actions and validation messaging from the wireframe.",S7,frontend ui booking
ST25,Sub-task,Submit bookings to backend,"Connect the form to POST /api/bookings and show success or failure feedback.",S7,frontend api booking
ST26,Sub-task,Enforce customer-only booking access,"Prevent unauthorized or incorrect role access to booking submission.",S7,frontend auth booking
ST27,Sub-task,Add booking flow states,"Handle loading submitting validation and success states for the booking screen.",S7,frontend ux booking
S8,Story,Build provider dashboard,"Implement the provider dashboard from the wireframe and connect it to provider APIs.",E1,frontend react provider-dashboard
ST28,Sub-task,Build provider dashboard layout,"Create the dashboard structure for profile status documents and services management sections.",S8,frontend ui provider-dashboard
ST29,Sub-task,Load provider profile and status,"Connect to GET /api/providers/me and GET /api/providers/me/status.",S8,frontend api provider-dashboard
